,player,predicted_points_xg,predicted_rank,total_points,mins,pos,actual_rank
0,Mohamed Salah,246.53967949201,1.0,249.0,3250.0,MID,2.0
1,Raheem Sterling,241.660845400964,2.0,239.0,3160.0,MID,3.0
2,Paul Pogba,202.922922496922,3.0,183.0,3366.0,MID,16.0
3,Sadio Mané,199.313762043848,4.0,220.0,3077.0,MID,5.0
4,Eden Hazard,198.999148373322,5.0,253.0,3044.0,MID,1.0
5,Pierre-Emerick Aubameyang,176.493473747474,6.0,210.0,2816.0,FWD,7.0
6,Andrew Robertson,176.000873507452,7.0,203.0,3216.0,DEF,8.0
7,Aymeric Laporte,174.659463814438,8.0,222.0,3597.0,DEF,4.0
8,Sergio Agüero,172.472494162966,9.0,217.0,2827.0,FWD,6.0
9,Virgil van Dijk,171.028666144776,10.0,193.0,3384.0,DEF,10.0
10,Bernardo Silva,170.416245007094,11.0,178.0,3304.0,MID,19.0
11,Christian Eriksen,170.227913667456,12.0,187.0,3133.0,MID,12.0
12,Ederson,168.387980932,13.0,196.0,3960.0,GK,9.0
13,César Azpilicueta,168.061385149402,14.0,179.0,3564.0,DEF,18.0
14,Kyle Walker,166.735665911368,15.0,187.0,3301.0,DEF,12.0
15,David Silva,165.29192133656,16.0,154.0,2765.0,MID,33.0
16,Luka Milivojević,163.149472865244,17.0,181.0,3600.0,MID,17.0
17,Harry Kane,160.00959878573602,18.0,153.0,2604.0,FWD,34.5
18,Gylfi Sigurðsson,159.544510426244,19.0,187.0,3235.0,MID,12.0
19,Marcos Alonso,159.04008408283,20.0,159.0,2849.0,DEF,28.0
20,David Luiz,158.55363410069,21.0,165.0,3418.0,DEF,23.5
21,Matt Doherty,157.490646546822,22.0,157.0,3439.0,DEF,29.5
22,Matt Ritchie,157.4162439422,23.0,136.0,2928.0,DEF,51.0
23,Leroy Sané,153.25771713896398,24.0,168.0,2080.0,MID,22.0
24,Toby Alderweireld,151.090191453556,25.0,123.0,3269.0,DEF,69.0
25,Trent Alexander-Arnold,150.466438312038,26.0,184.0,2462.0,DEF,14.5
26,Antonio Rüdiger,150.41036861593,27.0,102.0,2961.0,DEF,100.0
27,Kieran Trippier,148.177683964768,28.0,138.0,2546.0,DEF,47.5
28,Lewis Dunk,147.14171920644202,29.0,103.0,3691.0,DEF,98.5
29,Alexandre Lacazette,146.840538601118,30.0,157.0,2682.0,FWD,29.5
30,Richarlison,146.365573303164,31.0,155.0,2773.0,MID,32.0
31,Son Heung-min,146.02354436893802,32.0,163.0,2329.0,MID,26.0
32,Patrick van Aanholt,145.591995333722,33.0,147.0,3375.0,DEF,39.0
33,Luke Shaw,144.809820931022,34.0,95.0,2861.0,DEF,119.0
34,Raúl Jiménez,144.766250588684,35.0,163.0,3404.0,FWD,26.0
35,Shane Duffy,144.701111095268,36.0,125.0,3627.0,DEF,65.0
36,Roberto Firmino,144.243576913612,37.0,148.0,2607.0,FWD,38.0
37,Ryan Fraser,144.076707629316,38.0,184.0,3166.0,MID,14.5
38,Jamie Vardy,143.169157276082,39.0,163.0,2726.0,FWD,26.0
39,Nathan Aké,142.09982069748202,40.0,121.0,3411.0,DEF,73.5
40,Romelu Lukaku,142.009616573422,41.0,119.0,2317.0,FWD,76.0
41,David de Gea,141.903103652,42.0,126.0,3780.0,GK,62.5
42,Ashley Young,140.799188402264,43.0,75.0,2850.0,DEF,177.0
43,Michael Keane,139.732577240622,44.0,118.0,3149.0,DEF,79.0
44,Lucas Digne,139.711326790208,45.0,175.0,3055.0,DEF,20.0
45,James Maddison,138.384057266714,46.0,152.0,2831.0,MID,36.0
46,Nathan Redmond,137.431183052314,47.0,138.0,3450.0,MID,47.5
47,Marcus Rashford,136.265477151194,48.0,140.0,2590.0,FWD,44.5
48,Ayoze Pérez,135.666544808492,49.0,150.0,2917.0,MID,37.0
49,Wilfried Zaha,134.980941943446,50.0,156.0,3216.0,FWD,31.0
50,Craig Cathcart,134.063544054706,51.0,96.0,3321.0,DEF,115.0
51,John Stones,132.101669826226,52.0,96.0,2034.0,DEF,115.0
52,Victor Lindelöf,131.82110501732,53.0,79.0,2871.0,DEF,164.0
53,Abdoulaye Doucouré,131.42165115038,54.0,134.0,3422.0,MID,54.0
54,Troy Deeney,130.935846225956,55.0,124.0,2725.0,FWD,67.0
55,Ben Chilwell,130.893768753268,56.0,118.0,3240.0,DEF,79.0
56,Shkodran Mustafi,130.63340470358,57.0,79.0,2701.0,DEF,164.0
57,Callum Wilson,130.160463163202,58.0,165.0,2528.0,FWD,23.5
58,Hugo Lloris,129.776128564,59.0,140.0,3240.0,GK,44.5
59,Willy Boly,129.603955517014,60.0,126.0,3527.0,DEF,62.5
60,Aleksandar Mitrović,129.310458589996,61.0,128.0,3370.0,FWD,60.0
61,Willian,128.923540146726,62.0,116.0,2194.0,MID,82.0
62,Andros Townsend,128.793867045142,63.0,140.0,3100.0,MID,44.5
63,İlkay Gündoğan,128.430164419,64.0,129.0,2585.0,MID,59.0
64,Danny Rose,127.945893873208,65.0,101.0,2068.0,DEF,101.0
65,Sean Morrison,126.192905171024,66.0,110.0,3399.0,DEF,87.5
66,Alisson,126.116587404,67.0,172.0,3420.0,GK,21.0
67,Salomón Rondón,125.836607860948,68.0,141.0,2603.0,FWD,42.0
68,Joshua King,125.340845701658,69.0,142.0,2961.0,FWD,40.5
69,Ben Foster,125.332924170596,70.0,127.0,3780.0,GK,61.0
70,Jordan Pickford,124.308090856,71.0,135.0,3600.0,GK,52.0
71,N'Golo Kanté,123.817940190842,72.0,118.0,3182.0,MID,79.0
72,Sead Kolašinac,123.061670904242,73.0,79.0,2010.0,DEF,164.0
73,Séamus Coleman,122.648638702364,74.0,125.0,2630.0,DEF,65.0
74,Ricardo Pereira,122.177198805448,75.0,142.0,3123.0,DEF,40.5
75,Pedro,121.89027839613,76.0,108.0,1830.0,MID,91.0
76,James McArthur,121.400031211222,77.0,119.0,3193.0,MID,76.0
77,Riyad Mahrez,120.955535260986,78.0,104.0,1439.0,MID,95.5
78,Roberto Pereyra,120.866842181522,79.0,115.0,3040.0,MID,84.0
79,Kepa Arrizabalaga,120.780766584,80.0,140.0,3420.0,GK,44.5
80,Davinson Sánchez,120.39328803902,81.0,74.0,2100.0,DEF,180.5
81,Kurt Zouma,119.935071605784,82.0,107.0,2792.0,DEF,92.0
82,James Tarkowski,119.890446975534,83.0,93.0,3086.0,DEF,125.5
83,Lucas Moura,119.262650477114,84.0,134.0,2380.0,MID,54.0
84,Dele Alli,118.753267115956,85.0,98.0,2154.0,MID,108.5
85,Solly March,118.507107779412,86.0,103.0,2720.0,MID,98.5
86,Ben Mee,118.147644561844,87.0,79.0,3420.0,DEF,164.0
87,Aaron Wan-Bissaka,118.085342579916,88.0,123.0,3314.0,DEF,69.0
88,Anthony Martial,117.39182951616,89.0,137.0,1813.0,MID,49.5
89,Harry Maguire,116.06306594996,90.0,87.0,2596.0,DEF,137.0
90,James Tomkins,115.32515289135,91.0,94.0,2740.0,DEF,122.0
91,Kasper Schmeichel,115.20744306476,92.0,116.0,3420.0,GK,82.0
92,James Milner,114.586696831738,93.0,98.0,1789.0,MID,108.5
93,Mathew Ryan,114.22241732,94.0,109.0,3600.0,GK,89.5
94,Jan Vertonghen,113.611755859452,95.0,77.0,2271.0,DEF,172.0
95,Wilfred Ndidi,113.366266671208,96.0,86.0,3296.0,MID,140.0
96,Theo Walcott,113.079437224732,97.0,99.0,2257.0,MID,104.5
97,Ryan Bennett,112.507736224944,98.0,97.0,3330.0,DEF,112.0
98,Conor Coady,112.328063492,99.0,104.0,3780.0,DEF,95.5
99,Łukasz Fabiański,112.17609539156,100.0,121.0,3420.0,GK,73.5
100,Ben Davies,111.744573461916,101.0,70.0,2042.0,DEF,192.5
101,Bernd Leno,111.713733804,102.0,104.0,3016.0,GK,95.5
102,Michail Antonio,111.609596157532,103.0,109.0,2103.0,MID,89.5
103,Ashley Barnes,111.380184117622,104.0,113.0,2388.0,FWD,85.0
104,Martin Dúbravka,110.796086156,105.0,123.0,3420.0,GK,69.0
105,DeAndre Yedlin,110.624551256956,106.0,62.0,2473.0,DEF,214.0
106,Jesse Lingard,110.002564737208,107.0,83.0,1863.0,MID,151.0
107,Felipe Anderson,109.619423826668,108.0,153.0,3043.0,MID,34.5
108,Rui Patrício,109.328063492,109.0,122.0,3689.0,GK,71.5
109,Jonny Castro,109.075398207,110.0,111.0,3032.0,DEF,86.0
110,Georginio Wijnaldum,108.462911721968,111.0,100.0,2725.0,MID,102.5
111,Alex Iwobi,108.40263042006,112.0,93.0,2085.0,MID,125.5
112,Marko Arnautović,108.363249591212,113.0,110.0,1990.0,FWD,87.5
113,Bruno Ecuele Manga,108.187282824212,114.0,104.0,3736.0,DEF,95.5
114,Chris Smalling,108.100723730624,115.0,56.0,2487.0,DEF,233.5
115,Charlie Taylor,107.79478582832,116.0,83.0,3243.0,DEF,151.0
116,Glenn Murray,107.650312483448,117.0,132.0,2859.0,FWD,57.0
117,José Holebas,107.422762269152,118.0,98.0,2483.0,DEF,108.5
118,Anthony Knockaert,106.980051512476,119.0,76.0,2054.0,MID,174.5
119,Diogo Jota,106.969778555892,120.0,134.0,2684.0,FWD,54.0
120,Fernandinho,106.596181986306,121.0,88.0,2766.0,MID,133.5
121,Jóhann Berg Guðmundsson,106.014367768838,122.0,89.0,1752.0,MID,131.0
122,Gabriel Jesus,105.586792875456,123.0,91.0,1183.0,FWD,129.0
123,Christopher Schindler,105.192738649952,124.0,69.0,3260.0,DEF,195.5
124,Jamaal Lascelles,103.627457300084,125.0,92.0,2745.0,DEF,128.0
125,Nacho Monreal,103.59726167198,126.0,75.0,1951.0,DEF,177.0
126,Víctor Camarasa,103.567366243022,127.0,125.0,2921.0,MID,65.0
127,Chris Wood,103.071296955752,128.0,122.0,2588.0,FWD,71.5
128,Steve Cook,103.046267628108,129.0,83.0,2786.0,DEF,151.0
129,Nicolás Otamendi,102.84261783107,130.0,83.0,1506.0,DEF,151.0
130,Gerard Deulofeu,102.63324467959,131.0,130.0,2355.0,FWD,58.0
131,Pierre Højbjerg,102.288232400616,132.0,94.0,2940.0,MID,122.0
132,João Moutinho,102.139416607292,133.0,133.0,3391.0,MID,56.0
133,Neil Etheridge,100.121084924,134.0,137.0,3780.0,GK,49.5
134,Henrikh Mkhitaryan,99.144675831346,135.0,96.0,1698.0,MID,115.0
135,Moussa Sissoko,99.142373977348,136.0,78.0,2510.0,MID,169.5
136,Ashley Westwood,99.013085340998,137.0,106.0,2824.0,MID,93.0
137,James Ward-Prowse,98.48639531198,138.0,96.0,2125.0,MID,115.0
138,Jack Cork,98.252986197318,139.0,87.0,3312.0,MID,137.0
139,Kevin De Bruyne,98.18549120875,140.0,71.0,1265.0,MID,189.5
140,Joël Matip,98.16991109812,141.0,80.0,1537.0,DEF,158.5
141,Issa Diop,97.962606260256,142.0,84.0,2970.0,DEF,145.0
142,Jorginho,96.941572242888,143.0,98.0,3309.0,MID,108.5
143,Will Hughes,96.665118374202,144.0,95.0,2753.0,MID,119.0
144,Kiko Femenía,96.508454083198,145.0,73.0,2310.0,DEF,184.5
145,Terence Kongolo,95.9938581116,146.0,59.0,2716.0,DEF,225.5
146,Aaron Ramsey,95.506163640644,147.0,88.0,1331.0,MID,133.5
147,Ross Barkley,95.289395986612,148.0,79.0,1335.0,MID,164.0
148,Adrian Mariappa,95.015153487598,149.0,55.0,2107.0,DEF,239.0
149,Davy Pröpper,94.283517504474,150.0,79.0,2870.0,MID,164.0
150,Demarai Gray,93.734568590748,151.0,82.0,1985.0,MID,155.0
151,Xherdan Shaqiri,92.512029607648,152.0,84.0,1064.0,MID,145.0
152,Sokratis Papastathopoulos,92.438999442266,153.0,67.0,2288.0,DEF,202.0
153,Granit Xhaka,92.219170379604,154.0,95.0,2588.0,MID,119.0
154,David Brooks,91.774001804204,155.0,119.0,2261.0,MID,76.0
155,Mamadou Sakho,91.677812965762,156.0,78.0,2416.0,DEF,169.5
156,Héctor Bellerín,91.373483546684,157.0,60.0,1533.0,DEF,221.5
157,Robert Snodgrass,90.987964013582,158.0,86.0,2220.0,MID,140.0
158,Wes Morgan,90.905896842784,159.0,74.0,1925.0,DEF,180.5
159,Étienne Capoue,90.743007850478,160.0,80.0,3291.0,MID,158.5
160,Ryan Bertrand,90.101071405554,161.0,60.0,2340.0,DEF,221.5
161,Rúben Neves,89.586626043376,162.0,116.0,3360.0,MID,82.0
162,Joe Bennett,88.892551829284,163.0,83.0,2999.0,DEF,151.0
163,Dale Stephens,87.57535430165,164.0,76.0,3025.0,MID,174.5
164,Denis Odoi,87.342455642488,165.0,42.0,2594.0,DEF,289.5
165,Vincent Kompany,87.336646706084,166.0,57.0,1314.0,DEF,229.5
166,Bernard,87.014093426224,167.0,83.0,2188.0,MID,151.0
167,Pablo Zabaleta,86.90144451002,168.0,55.0,2092.0,DEF,239.0
168,Jonas Lössl,86.666239512144,169.0,88.0,2778.0,GK,133.5
169,Jeffrey Schlupp,86.56028349949,170.0,83.0,1850.0,MID,151.0
170,Sol Bamba,86.061103462352,171.0,93.0,2474.0,DEF,125.5
171,Jan Bednarek,85.93910022624,172.0,48.0,2331.0,DEF,270.0
172,Angelo Ogbonna,85.627615725044,173.0,46.0,1874.0,DEF,278.0
173,Pascal Groß,85.607788637168,174.0,84.0,2097.0,MID,145.0
174,Junior Hoilett,85.41204509159401,175.0,93.0,2483.0,MID,125.5
175,Declan Rice,85.176452443332,176.0,84.0,3003.0,MID,145.0
176,Jonny Evans,85.126498877818,177.0,71.0,1996.0,DEF,189.5
177,Chris Löwe,84.653752187584,178.0,38.0,2057.0,DEF,311.0
178,Lucas Torreira,83.882926642818,179.0,74.0,2463.0,MID,180.5
179,Aaron Mooy,83.8104718239,180.0,75.0,2330.0,MID,177.0
180,Martín Montoya,83.742471968854,181.0,48.0,2437.0,DEF,270.0
181,Andre Gray,83.505584460908,182.0,96.0,1590.0,FWD,115.0
182,Nemanja Matić,83.486190939274,183.0,62.0,2616.0,MID,214.0
183,Idrissa Gana Gueye,83.437626854922,184.0,81.0,2912.0,MID,156.5
184,Jack Stephens,83.429571165104,185.0,48.0,1835.0,DEF,270.0
185,Christian Kabasele,83.332916129088,186.0,34.0,1766.0,DEF,329.0
186,Aron Gunnarsson,83.14162029517,187.0,70.0,2580.0,MID,192.5
187,Alex Pritchard,82.59681164710601,188.0,66.0,2081.0,MID,203.5
188,Mathias Jørgensen,82.596586386174,189.0,68.0,2147.0,DEF,199.5
189,Mark Noble,82.240042835544,190.0,100.0,2291.0,MID,102.5
190,Danny Ings,82.14616839513,191.0,87.0,1726.0,FWD,137.0
191,Mesut Özil,82.001289405906,192.0,90.0,1915.0,MID,130.0
192,Ryan Sessegnon,81.834833845156,193.0,98.0,2480.0,MID,108.5
193,Laurent Koscielny,81.494176710872,194.0,61.0,1511.0,DEF,218.0
194,Daryl Janmaat,80.84261482873801,195.0,55.0,1709.0,DEF,239.0
195,Dominic Calvert-Lewin,80.80890517085,196.0,88.0,1892.0,FWD,133.5
196,Nathaniel Clyne,80.719096451988,197.0,35.0,1254.0,DEF,325.5
197,Steve Mounié,80.652066121092,198.0,62.0,1778.0,FWD,214.0
198,Calum Chambers,79.944175330806,199.0,72.0,2768.0,MID,187.0
199,Joe Bryan,79.887754094134,200.0,52.0,2525.0,DEF,253.0
200,Florent Hadergjonaj,79.794742531364,201.0,51.0,1842.0,DEF,257.0
201,Asmir Begović,79.719688264,202.0,63.0,2160.0,GK,210.0
202,Adam Smith,79.710590884314,203.0,68.0,2066.0,DEF,199.5
203,Sergio Rico,79.682085559566,204.0,86.0,2790.0,GK,140.0
204,Jeff Hendrick,79.57114351706001,205.0,71.0,2063.0,MID,189.5
205,Cheikhou Kouyaté,79.27903718482,206.0,69.0,1988.0,MID,195.5
206,Gaëtan Bong,79.222308235902,207.0,53.0,1988.0,DEF,248.5
207,Jordan Henderson,79.113930163662,208.0,77.0,1987.0,MID,172.0
208,Diogo Dalot,79.059210086998,209.0,25.0,1186.0,DEF,361.0
209,Mateo Kovačić,78.633545361416,210.0,64.0,1834.0,MID,208.0
210,Callum Paterson,78.325163709024,211.0,68.0,1998.0,FWD,199.5
211,Maya Yoshida,78.20621108929001,212.0,45.0,1698.0,DEF,280.5
212,Alex McCarthy,77.961291848,213.0,69.0,2250.0,GK,195.5
213,Erik Durm,77.55198183645,214.0,45.0,2055.0,DEF,280.5
214,Fabian Schär,77.51473023658001,215.0,94.0,1999.0,DEF,122.0
215,Charlie Daniels,77.2880827625,216.0,41.0,1585.0,DEF,294.5
216,Jean Seri,77.198506242516,217.0,69.0,2263.0,MID,195.5
217,Oleksandr Zinchenko,76.806498936862,218.0,98.0,1439.0,DEF,108.5
218,Philip Billing,76.37246186624,219.0,62.0,2188.0,MID,214.0
219,Juan Mata,76.326532642558,220.0,68.0,1351.0,MID,199.5
220,Paul Dummett,75.329422845924,221.0,66.0,1990.0,DEF,203.5
221,Ainsley Maitland-Niles,75.250438508422,222.0,32.0,1122.0,DEF,335.5
222,Bernardo,75.18914362386,223.0,43.0,2149.0,DEF,286.0
223,Cyrus Christie,74.665935645596,224.0,35.0,2128.0,DEF,325.5
224,Jürgen Locadia,74.033505157742,225.0,59.0,1433.0,MID,225.5
225,Oriol Romeu,73.25996665008,226.0,55.0,2299.0,MID,239.0
226,Jefferson Lerma,73.219724365292,227.0,65.0,2506.0,MID,206.0
227,Max Meyer,73.044201228914,228.0,60.0,1461.0,MID,221.5
228,Arthur Masuaku,72.73209502663,229.0,53.0,1759.0,DEF,248.5
229,André Gomes,72.55879772375,230.0,73.0,2132.0,MID,184.5
230,Tim Ream,72.22659232064,231.0,47.0,2118.0,DEF,275.0
231,Mohamed Diamé,72.093899822984,232.0,56.0,2166.0,MID,233.5
232,Phil Jones,72.07083051022,233.0,39.0,1424.0,DEF,305.0
233,Christian Atsu,71.642401632578,234.0,50.0,1493.0,MID,261.0
234,Joe Gomez,71.49524292067,235.0,53.0,1063.0,DEF,248.5
235,Aaron Cresswell,71.460446572536,236.0,33.0,1589.0,DEF,332.5
236,Yan Valery,71.12349318472201,237.0,56.0,1725.0,DEF,233.5
237,Jannik Vestergaard,70.802711811232,238.0,49.0,2027.0,DEF,265.0
238,Josh Murphy,70.504449960156,239.0,81.0,2055.0,MID,156.5
239,Érik Lamela,70.219930681644,240.0,58.0,974.0,MID,228.0
240,Yves Bissouma,69.598874726634,241.0,49.0,2129.0,MID,265.0
241,Dejan Lovren,69.473807770736,242.0,59.0,986.0,DEF,225.5
242,Ruben Loftus-Cheek,69.428818695812,243.0,99.0,1106.0,MID,104.5
243,Mattéo Guendouzi,69.397708502644,244.0,49.0,2271.0,MID,265.0
244,Tom Cairney,68.92958631206,245.0,73.0,2349.0,MID,184.5
245,Fabián Balbuena,67.989681752264,246.0,63.0,2013.0,DEF,210.0
246,Kelechi Iheanacho,67.783094681094,247.0,53.0,941.0,FWD,248.5
